sentence,conjunction,first_noun,second_noun
A girl is holding a red balloon or a blue kite.,or,Red balloon,Blue kite
An old man is feeding pigeons or reading a newspaper in the park.,or,Feeding pigeons,Reading a newspaper
A child is building a sandcastle or collecting seashells on the beach.,or,Building a sandcastle,Collecting seashells
A woman is watering her plants or hanging laundry in the backyard.,or,Watering plants,Hanging laundry
A cat is playing with a ball of yarn or sleeping on a comfy chair.,or,Playing with a ball of yarn,Sleeping on a comfy chair
The boat is either red or blue.,either... or,Boat being red,Boat being blue
The girl is holding either a puppy or a kitten.,either... or,Girl holding a puppy,Girl holding a kitten
The man is either running or swimming.,either... or,Man running,Man swimming
The sky is filled with either stars or clouds.,either... or,Sky filled with stars,Sky filled with clouds
The painting depicts either a sunrise or a sunset.,either... or,Painting depicting a sunrise,Painting depicting a sunset
The young boy must choose between a slice of chocolate cake or a scoop of vanilla ice cream.,or,Chocolate cake,Vanilla ice cream
The desert landscape is stark with either a solitary cactus or a weary traveler.,or,Cactus,Weary traveler
The artist's canvas could hold a vibrant sunset or a peaceful moonrise.,or,Vibrant sunset,Peaceful moonrise
The old man spends his evenings reading a book or writing in his journal.,or,Book,Journal
The crystal clear lake reflects either the majestic mountain or the dense forest that surrounds it.,or,Majestic mountain,Dense forest
The little girl was holding either a red balloon or a blue kite.,either... or,Red balloon,Blue kite
The image can be filled with either a roaring lion or a sleeping bear.,either... or,Roaring lion,Sleeping bear
In the middle of the room stood either a tall pine Christmas tree or an antique grandfather clock.,either... or,Tall pine Christmas tree,Antique grandfather clock
"In the garden, there was either a vibrant rose bush or a rusty garden gate.",either... or,Vibrant rose bush,Rusty garden gate
"The sky was painted with either a bright, full moon or a fiery sunset.",either... or,"Bright, full moon",Fiery sunset
A stunning sunset or a blossoming rose could be the center of the artwork.,or,Stunning sunset,Blossoming rose
The image could either capture the essence of a roaring lion or a flying eagle.,or,Roaring lion,Flying eagle
The illustration should emphasize either the tranquility of a quiet lake or the grandeur of a majestic mountain.,or,Quiet lake,Majestic mountain
The visual could depict the vibrant life of a bustling city or the serene beauty of a countryside landscape.,or,Bustling city,Countryside landscape
The artwork may present either the mysterious allure of a moonlit night or the warm vibrance of a sunny day.,or,Moonlit night,Sunny day
The picture can either depict a vibrant sunrise or a serene sunset.,either... or,Vibrant sunrise,Serene sunset
"In the painting, there should be either a bustling cityscape or a peaceful countryside.",either... or,Bustling cityscape,Peaceful countryside
The sketch should feature either a majestic lion or a graceful deer.,either... or,Majestic lion,Graceful deer
The mural should either portray a vivid summer scene or a snow-covered winter landscape.,either... or,Vivid summer scene,Snow-covered winter landscape
The illustration must include either a tranquil lake or a roaring ocean.,either... or,Tranquil lake,Roaring ocean
